rmse,mae,r2,val_loss,"param_
    'filters_conv1': [16, 32, 48, 64, 80, 96, 112, 128],
    'kernel_size_conv1': [2, 3, 4, 5, 6, 8],
    'activation_conv1': ['sigmoid', 'tanh', 'relu'],
    'filters_conv2': [16, 32, 48, 64, 80, 96, 128, 256, 384, 512],
    'kernel_size_conv2': [2, 3, 4, 5, 6, 8, 10],
    'activation_conv2': ['sigmoid', 'tanh', 'relu'],
    'dense_neurons': [20, 40, 60, 80, 100, 200, 300, 400, 500],
    'learning_rate': [0.001],
    'batch_size': [32],
    'epochs': [3, 4, 5, 6, 9, 15]
filters_conv1",param_activation_conv1,param_activation_conv2,param_batch_size,param_dense_neurons,param_epochs,param_filters_conv2,param_kernel_size_conv1,param_kernel_size_conv2,param_learning_rate
16.87172997848634,13.423788294792175,0.8351611074357006,259.0028991699219,16,sigmoid,sigmoid,32,20,4,32,3,10,0.001
15.852090366484461,12.395330972671509,0.8544830663605465,250.89697265625,16,sigmoid,sigmoid,32,20,4,32,6,2,0.001
17.241480398599926,13.311126074790955,0.8278569231079721,272.7947998046875,16,sigmoid,sigmoid,32,20,4,32,6,5,0.001
17.197926934618728,13.174049263000489,0.8287255211114468,286.7386474609375,16,sigmoid,sigmoid,32,20,4,32,6,10,0.001
15.968518007932374,12.485740246772766,0.8523376823764455,245.60614013671875,16,sigmoid,sigmoid,32,20,4,128,2,2,0.001
17.714065717319432,13.200020807981492,0.8182907822122113,303.1792297363281,16,sigmoid,sigmoid,32,20,4,128,2,5,0.001
17.270803032319854,13.299362468719483,0.8272708967827167,250.16184997558594,16,sigmoid,sigmoid,32,20,4,128,2,10,0.001
16.992888032081105,12.631833426952362,0.8327851485307024,245.92703247070312,16,sigmoid,sigmoid,32,20,4,128,3,2,0.001
17.24712837785485,13.132339565753936,0.8277441230755316,277.5415344238281,16,sigmoid,sigmoid,32,20,4,128,3,5,0.001
17.727029481051428,13.687702069282532,0.8180247227572559,263.944091796875,16,sigmoid,sigmoid,32,20,4,128,3,10,0.001
16.741284107050156,12.585245480239392,0.8377001983514157,265.24249267578125,16,sigmoid,sigmoid,32,20,4,128,6,2,0.001
18.030277665706638,14.122340822219849,0.8117455349827922,265.14642333984375,16,sigmoid,sigmoid,32,20,4,128,6,5,0.001
16.71904320070812,12.94170259952545,0.8381311446173212,257.7226867675781,16,sigmoid,sigmoid,32,20,4,128,6,10,0.001
16.154450287664947,12.39608525454998,0.8488789981034827,253.57032775878906,16,sigmoid,sigmoid,32,20,4,384,2,2,0.001
17.338425589943,12.82679081439972,0.8259156325770108,264.01092529296875,16,sigmoid,sigmoid,32,20,4,384,2,5,0.001
16.857398246726824,12.56112417936325,0.8354410340834371,274.68536376953125,16,sigmoid,sigmoid,32,20,4,384,2,10,0.001
16.728916085979662,12.928724683523178,0.8379399154332503,250.94027709960938,16,sigmoid,sigmoid,32,20,4,384,3,2,0.001
16.56971676514522,12.446982867717743,0.8410097012089769,268.183837890625,16,sigmoid,sigmoid,32,20,4,384,3,5,0.001
17.71576061066639,12.944987577199935,0.8182560084360517,306.3155822753906,16,sigmoid,sigmoid,32,20,4,384,3,10,0.001
16.208213350252795,12.023244890905916,0.8478714432130179,246.8662872314453,16,sigmoid,sigmoid,32,20,4,384,6,2,0.001
18.00843431422901,13.325460269451142,0.8122013923634414,298.91864013671875,16,sigmoid,sigmoid,32,20,4,384,6,5,0.001
16.455224000122723,12.29494300365448,0.8431992798447463,268.49249267578125,16,sigmoid,sigmoid,32,20,4,384,6,10,0.001
16.25435315896683,12.468062801659107,0.8470040837962433,248.3511962890625,16,sigmoid,sigmoid,32,20,4,512,2,2,0.001
17.108812300978645,13.060408389568329,0.8304959110113941,284.6620788574219,16,sigmoid,sigmoid,32,20,4,512,2,5,0.001
19.706561534492504,14.278342713117599,0.7751141328142324,301.040771484375,16,sigmoid,sigmoid,32,20,4,512,2,10,0.001
17.10936720711596,13.337460787296296,0.830484915463255,279.0392150878906,16,sigmoid,sigmoid,32,20,4,512,3,2,0.001
16.840466767710808,12.765205286741256,0.8357714323337604,264.9154052734375,16,sigmoid,sigmoid,32,20,4,512,3,5,0.001
18.08223682116477,13.118498114347458,0.8106589585822305,301.8099670410156,16,sigmoid,sigmoid,32,20,4,512,3,10,0.001
16.28153935277649,12.532311663627624,0.8464918696258191,265.0885009765625,16,sigmoid,sigmoid,32,20,4,512,6,2,0.001
